time,site,ip,hop_num,min_rtt,avg_rtt,max_rtt
2021-04-21 22:06:35.299034+00:00,docs.google.com,10.0.0.1,1,1.422,2.893,3.58
2021-04-21 22:06:35.299199+00:00,docs.google.com,96.120.88.185,2,12.235,16.591,23.793
2021-04-21 22:06:35.299292+00:00,docs.google.com,96.110.177.73,3,27.307,82.812,193.411
2021-04-21 22:06:35.299379+00:00,docs.google.com,69.139.199.197,4,16.82,24.261,48.733
2021-04-21 22:06:35.299462+00:00,docs.google.com,68.86.143.93,5,14.574,21.442,28.63
2021-04-21 22:06:35.299543+00:00,docs.google.com,96.112.146.22,6,12.927,17.008,23.434
2021-04-21 22:06:35.299623+00:00,docs.google.com,108.170.226.52,7,13.244,15.044,20.859
2021-04-21 22:06:35.299701+00:00,docs.google.com,209.85.252.251,8,13.004,13.973,14.787
2021-04-21 22:06:35.299785+00:00,docs.google.com,172.217.164.110,9,11.07,13.762,20.802
2021-04-21 22:06:39.991900+00:00,stackoverflow.com,10.0.0.1,1,1.584,3.279,6.399
2021-04-21 22:06:39.992130+00:00,stackoverflow.com,96.120.88.185,2,15.279,30.345,59.774
2021-04-21 22:06:39.992281+00:00,stackoverflow.com,96.110.177.73,3,12.05,16.271,21.206
2021-04-21 22:06:39.992421+00:00,stackoverflow.com,69.139.199.197,4,12.552,15.362,23.188
2021-04-21 22:06:39.992556+00:00,stackoverflow.com,96.110.41.121,5,13.519,27.129,48.073
2021-04-21 22:06:39.992687+00:00,stackoverflow.com,96.110.41.218,6,13.531,17.847,22.377
2021-04-21 22:06:39.992816+00:00,stackoverflow.com,66.208.228.90,7,16.043,22.662,29.441
2021-04-21 22:06:39.992944+00:00,stackoverflow.com,151.101.193.69,8,16.185,20.74,30.951
2021-04-21 22:06:45.224485+00:00,calendar.google.com,10.0.0.1,1,2.164,8.908,34.724
2021-04-21 22:06:45.224775+00:00,calendar.google.com,96.120.88.185,2,13.484,14.607,15.838
2021-04-21 22:06:45.224971+00:00,calendar.google.com,96.110.177.73,3,12.628,24.131,39.584
2021-04-21 22:06:45.225150+00:00,calendar.google.com,69.139.199.197,4,13.284,25.162,51.354
2021-04-21 22:06:45.225322+00:00,calendar.google.com,68.86.143.93,5,13.016,15.978,20.672
2021-04-21 22:06:45.225494+00:00,calendar.google.com,96.112.146.18,6,11.983,15.856,19.355
2021-04-21 22:06:45.225662+00:00,calendar.google.com,74.125.37.224,7,11.656,13.152,14.403
